item,10,01/01/2014,Food
item,40,01/01/2015,Food
item,30,01/01/2016,Food
item,20,01/01/2017,Food
item,50,01/01/2018,Food
item,70,01/01/2019,Food
item,30,01/05/2020,Food
item,10,01/06/2020,Food
item,50,01/07/2020,Food
item,70,01/08/2020,Food
item,80,01/09/2020,Food
item,30,01/10/2020,Food
item,20,01/11/2020,Food
item,40,01/12/2020,Food
item,50,01/01/2021,Food
item,60,01/02/2021,Food
item,30,01/03/2021,Food
item,50,01/04/2021,Food
item,70,01/05/2021,Food
item,20,02/05/2021,Food
item,30,03/05/2021,Food
item,40,04/05/2021,Food
item,50,05/05/2021,Food
item,60,06/05/2021,Food
item,70,07/05/2021,Food
